Chainage,Mandatory,Cautionary,Informatory
313+507,0,0,1
,0,1,0
313+517,0,0,0
313+537,0,0,0
313+547,0,0,0
313+567,0,0,0
313+577,0,0,0
313+597,0,0,0
313+607,0,0,1
313+627,0,0,0
313+637,0,0,0
313+657,0,0,0
313+667,0,0,0
313+687,0,0,0
313+697,0,0,0
313+707,0,1,0
313+727,0,0,0
313+737,0,0,0
313+747,0,0,0
313+767,0,0,0
313+777,0,0,1
313+797,0,0,1
313+807,0,0,2
313+817,0,1,0
313+837,0,0,0
313+847,0,0,0
313+867,0,0,0
313+877,0,0,0
313+897,0,0,0
313+907,0,0,0
313+927,0,0,0
313+937,0,0,0
313+947,0,0,1
,0,0,0
313+957,0,0,0
,0,0,0
,0,0,0
,0,0,0
313+967,0,0,0
,0,1,0
,0,0,0
,0,0,0
313+977,0,2,0
,0,0,1
,0,1,0
313+987,0,0,0
,0,0,0
,0,0,0
313+997,0,0,0
,0,0,0
,0,0,0
314+007,0,0,0
314+017,0,0,0
,0,0,1
314+027,0,1,0
,0,0,0
314+037,0,0,1
314+047,0,1,0
314+057,0,0,0
314+067,0,0,0
,0,0,0
314+077,0,2,0
314+087,0,1,0
314+097,0,1,0
314+107,0,1,0
314+117,0,0,0
314+127,1,1,0
314+147,0,0,0
314+157,0,1,0
314+167,0,1,0
314+177,0,0,1
314+187,0,0,0
314+197,0,1,0
314+207,0,0,0
314+227,0,1,0
314+237,0,0,0
314+247,0,0,0
314+257,0,0,0
314+267,0,1,0
314+277,0,1,0
314+297,0,0,0
314+307,0,2,0
314+317,0,0,0
314+327,0,1,0
314+337,0,0,0
314+357,0,1,0
,0,0,0
314+367,0,1,0
314+387,0,0,0
314+397,0,0,0
314+407,0,1,0
314+417,0,0,0
314+427,0,1,1
314+437,0,1,0
314+447,0,0,0
314+457,0,0,0
314+467,0,0,0
314+477,0,0,0
314+487,0,0,0
314+497,0,0,0
314+507,0,0,0
314+517,0,0,0
314+537,0,0,1
314+547,0,0,0
314+557,0,0,0
314+567,0,0,0
314+577,0,1,0
314+587,0,0,0
314+597,0,0,0
314+607,0,0,0
314+617,0,0,0
314+637,0,0,0
314+647,0,0,1
314+657,0,0,0
314+667,0,0,0
314+677,0,0,0
314+687,0,0,0
314+707,0,0,0
314+717,0,0,0
314+727,0,0,0
314+737,0,0,0
314+747,0,0,0
314+767,0,0,0
314+777,0,0,0
314+787,0,0,0
314+797,1,0,0
314+807,0,0,0
314+827,0,0,0
314+837,0,0,0
314+847,1,0,0
314+857,0,0,0
314+877,0,0,0
314+887,0,0,1
314+897,0,0,0
314+907,0,0,0
314+917,0,0,0
314+937,0,0,0
314+947,0,0,0
314+957,0,0,0
314+967,0,0,0
314+987,0,0,0
314+997,0,0,0
315+007,0,0,0
315+027,0,0,0
315+037,0,0,0
315+047,0,0,0
315+067,0,0,0
315+077,0,0,0
315+087,0,0,0
315+107,0,0,0
315+117,0,1,0
315+137,0,0,0
315+147,0,0,0
315+167,0,0,0
315+177,0,0,0
315+187,0,0,0
315+207,0,0,0
315+217,0,0,1
315+237,0,0,0
315+247,0,0,0
315+267,0,0,0
315+277,0,0,0
315+297,0,0,0
315+317,0,0,0
315+327,0,0,0
315+347,0,0,0
315+357,0,0,0
315+377,0,0,0
315+387,0,0,0
315+407,0,0,0
315+417,0,0,0
315+437,0,0,0
315+447,0,0,0
315+467,0,0,0
315+477,0,0,0
315+497,0,0,0
315+517,0,0,0
315+527,0,0,0
315+547,0,0,0
315+557,0,0,1
315+577,0,0,0
315+587,0,0,1
315+607,0,0,0
315+627,0,0,0
315+637,0,0,0
315+657,0,1,0
315+667,0,0,0
315+687,0,0,0
315+707,0,0,0
315+717,0,0,0
315+737,0,0,0
315+757,0,0,0
315+767,0,0,0
315+787,0,0,0
315+797,0,0,0
315+817,0,0,0
315+827,0,0,0
315+847,0,0,0
315+857,0,0,0
315+877,0,0,0
315+887,0,0,0
315+907,0,0,0
315+917,0,0,0
315+937,0,0,0
315+947,0,0,0
315+967,0,0,0
315+977,0,0,0
315+997,0,0,0
316+007,0,0,0
316+017,0,0,0
316+037,0,0,0
316+047,0,0,0
316+067,0,0,0
316+077,0,0,0
316+097,0,0,0
316+107,0,0,0
316+127,0,0,0
316+137,0,0,0
316+157,0,0,0
316+167,0,0,0
316+187,0,0,0
316+197,0,0,0
316+217,0,0,0
316+237,0,0,0
316+247,0,0,0
316+267,0,0,0
316+287,0,0,0
316+297,0,0,0
316+317,0,0,0
316+327,0,0,0
316+347,0,0,0
316+367,0,0,0
316+377,0,0,0
316+397,0,0,0
316+407,0,0,0
316+427,0,0,0
316+447,0,0,0
316+457,0,0,0
316+477,0,0,0
316+487,0,0,0
316+507,0,0,0
316+517,0,0,0
316+537,0,0,0
316+557,0,0,0
316+567,0,0,0
316+587,0,0,0
316+597,0,0,0
316+617,0,0,0
316+637,0,0,0
316+647,0,0,0
316+667,0,0,0
316+687,0,0,0
316+697,0,0,0
316+717,0,0,0
316+727,0,0,0
316+747,0,0,0
316+757,0,0,0
316+777,0,0,0
316+797,0,0,0
316+807,0,0,0
316+827,0,0,0
316+837,0,0,0
316+857,0,0,1
316+877,0,0,0
316+887,0,0,0
316+907,0,0,0
316+917,0,0,0
316+937,0,0,0
316+947,0,0,0
316+967,0,0,0
316+977,0,0,0
316+997,0,0,0
317+017,0,1,0
317+027,0,0,0
317+047,0,0,0
317+057,0,0,0
317+077,0,0,0
317+097,0,0,0
317+107,0,0,0
317+127,0,0,0
317+147,0,0,0
317+157,0,1,0
317+177,0,0,0
317+197,0,1,0
317+207,0,0,0
317+227,0,0,0
317+247,0,0,0
317+267,0,1,0
317+277,0,0,0
317+297,0,0,0
317+317,0,0,0
317+327,0,0,0
317+347,0,1,0
317+367,0,0,0
317+387,0,0,0
317+407,0,0,0
317+427,0,0,0
317+437,0,0,0
317+457,0,0,0
317+477,0,0,0
317+497,0,0,0
317+517,0,0,0
317+537,0,0,0
317+557,0,0,0
317+577,0,0,0
317+587,0,0,0
317+607,0,0,0
317+627,0,0,0
317+647,0,0,0
317+667,0,0,0
317+687,0,0,0
317+697,0,0,0
317+717,0,0,0
317+737,0,0,0
317+757,0,0,0
317+777,0,0,0
317+787,0,0,1
317+807,0,0,0
317+827,0,0,0
317+847,1,0,0
317+857,0,0,0
317+877,0,0,0
317+897,0,0,0
317+907,0,0,0
317+927,1,0,0
317+937,0,0,0
317+957,0,0,0
317+977,0,0,0
317+987,0,0,0
318+007,0,0,0
318+017,0,0,0
318+037,0,0,0
318+047,0,0,0
318+067,0,0,0
318+077,0,0,0
318+097,0,0,0
318+107,0,1,0
318+127,0,0,0
318+137,0,0,0
318+157,0,0,0
318+167,0,1,0
318+187,0,0,0
318+197,0,0,0
318+217,0,0,0
318+227,0,0,0
318+247,0,0,0
318+257,0,0,0
318+277,0,0,0
318+287,0,0,0
318+307,0,0,0
318+327,0,0,0
318+337,0,0,0
318+357,0,0,0
318+367,0,0,0
318+387,0,0,0
318+407,0,0,0
318+417,0,0,0
318+437,0,0,0
318+457,0,0,0
318+467,0,0,0
318+487,0,0,0
318+507,0,0,0
318+517,0,0,0
318+537,0,0,0
318+557,0,0,0
318+577,0,0,0
318+597,0,0,1
318+617,0,0,0
318+627,0,0,0
318+647,0,0,0
318+667,0,0,0
318+687,0,0,0
318+707,0,0,0
318+717,0,0,0
318+737,0,0,0
318+757,0,0,0
318+767,0,0,0
318+787,0,0,0
318+807,0,0,0
318+827,0,0,0
318+837,0,0,0
318+857,0,0,0
318+877,0,0,0
318+887,0,0,0
318+907,0,0,0
318+927,0,0,0
318+937,0,0,0
318+957,0,0,0
318+967,0,0,1
318+987,0,0,0
319+007,0,0,0
319+017,0,0,0
319+037,0,0,0
319+047,0,0,0
319+067,0,0,0
319+087,0,0,0
319+097,0,1,0
319+117,0,0,0
319+127,0,0,0
319+147,0,0,0
319+167,0,0,0
319+177,0,0,0
319+197,0,0,0
319+207,0,0,0
319+227,0,0,0
319+237,0,0,0
319+257,0,0,0
319+267,0,0,0
319+287,0,0,0
319+297,0,0,0
319+317,0,0,0
319+327,0,0,0
319+347,0,0,0
319+357,0,0,0
319+377,0,0,0
319+387,0,0,0
319+407,0,0,0
319+417,0,0,0
319+437,0,0,0
319+447,0,0,0
319+467,0,0,0
319+477,0,1,0
319+497,0,0,0
319+507,0,0,0
319+527,0,0,0
319+537,0,0,0
319+547,0,0,0
319+567,0,0,0
319+577,0,0,0
319+587,0,0,0
319+607,0,1,0
319+617,0,0,0
319+627,0,0,0
319+647,0,0,0
319+657,0,0,0
319+677,0,0,0
319+687,0,0,0
319+707,0,0,0
319+717,0,0,0
319+737,0,0,0
319+747,0,1,0
319+767,0,0,0
319+777,0,0,0
319+797,0,0,0
319+817,0,0,0
319+827,0,0,0
319+847,1,0,0
319+857,0,0,0
319+877,0,0,0
319+887,0,0,0
319+907,0,0,0
319+917,0,0,0
319+937,0,0,0
319+957,0,0,0
319+967,0,0,0
319+987,0,0,0
319+997,0,0,0
320+017,0,0,0
320+027,0,0,0
320+047,0,0,0
320+057,0,0,0
320+077,0,0,1
320+087,0,0,0
320+107,0,1,0
320+117,0,0,0
320+137,0,1,0
320+157,0,0,0
320+167,0,0,0
320+187,0,1,0
320+197,0,0,0
320+217,0,0,0
320+227,0,0,0
320+247,0,0,0
320+267,0,0,0
320+277,0,0,0
320+297,0,1,0
320+307,0,0,0
320+327,0,0,0
320+337,0,0,1
320+357,0,0,0
320+367,0,0,0
320+387,0,0,0
320+397,0,0,0
320+417,0,0,0
320+427,0,0,0
320+447,0,1,0
320+457,0,0,0
320+477,0,0,0
320+497,0,0,0
320+507,0,0,0
320+527,0,0,0
320+537,0,0,0
320+557,0,0,0
320+567,0,0,0
320+587,0,0,0
320+607,0,0,0
320+617,0,0,0
320+637,0,0,0
320+657,0,0,0
320+667,0,0,0
320+687,0,0,0
320+697,0,0,0
320+717,0,0,0
320+737,0,0,0
320+747,0,0,0
320+767,0,0,0
320+787,0,0,0
320+797,0,0,0
320+817,0,0,0
320+837,0,0,0
320+857,0,0,0
320+867,0,0,0
320+887,0,1,0
320+907,0,0,0
320+927,0,0,0
320+937,0,0,0
320+957,0,0,0
320+977,0,0,0
320+987,0,0,0
321+007,0,0,0
321+027,0,2,0
321+047,0,1,0
321+057,0,0,0
321+077,0,0,0
321+097,0,0,0
321+117,0,0,0
321+127,0,0,0
321+147,0,0,0
