Chainage,Shrub count
313+507,5
,4
313+517,6
313+537,6
313+547,11
313+567,10
313+577,8
313+597,7
313+607,6
313+627,6
313+637,4
313+657,6
313+667,8
313+687,5
313+697,4
313+707,3
313+727,5
313+737,5
313+747,5
313+767,6
313+777,4
313+797,5
313+807,1
313+817,3
313+837,3
313+847,7
313+867,3
313+877,5
313+897,4
313+907,5
313+927,3
313+937,4
313+947,3
,3
313+957,0
,2
,2
,7
,4
,1
,1
313+967,0
,2
,3
,5
,3
313+977,2
,1
,2
313+987,1
,1
,2
313+997,2
314+007,3
,6
314+017,3
,5
314+027,2
314+037,3
314+047,2
314+057,2
,2
314+067,5
314+077,3
314+087,2
314+097,2
314+107,3
314+117,3
314+137,4
314+147,4
314+157,3
314+167,4
314+177,6
314+187,2
314+197,0
314+217,0
314+227,0
314+237,2
314+247,1
314+257,0
314+267,2
314+287,2
314+297,0
314+307,2
314+317,0
314+327,0
314+347,1
,0
314+357,0
314+377,2
314+387,5
314+397,4
314+407,4
314+417,4
314+427,2
314+437,3
314+447,5
314+457,3
314+467,6
314+477,1
314+487,4
314+497,1
314+507,4
314+527,5
314+537,6
314+547,4
314+557,4
314+567,4
314+577,3
314+587,4
314+597,4
314+607,4
314+627,4
314+637,3
314+647,5
314+657,3
314+667,4
314+677,4
314+697,3
314+707,5
314+717,4
314+727,3
314+737,4
314+757,4
314+767,7
314+777,3
314+787,3
314+797,4
314+817,4
314+827,4
314+837,4
314+847,3
314+867,3
314+877,4
314+887,4
314+897,3
314+907,4
314+927,3
314+937,4
314+947,3
314+957,5
314+977,3
314+987,4
314+997,3
315+017,6
315+027,3
315+037,5
315+057,4
315+067,3
315+077,4
315+097,3
315+107,3
315+127,5
315+137,5
315+157,5
315+167,5
315+177,4
315+197,2
315+207,6
315+227,4
315+237,6
315+257,6
315+267,3
315+287,4
315+307,4
315+317,4
315+337,2
315+347,0
315+367,5
315+377,4
315+397,7
315+407,6
315+427,5
315+437,5
315+457,5
315+467,3
315+487,4
315+507,4
315+517,5
315+537,5
315+547,5
315+567,3
315+577,6
315+597,4
315+617,2
315+627,2
315+647,6
315+657,2
315+677,5
315+697,5
315+707,5
315+727,4
315+747,5
315+757,7
315+777,4
315+787,4
315+807,3
315+817,4
315+837,2
315+847,3
315+867,3
315+877,6
315+897,3
315+907,4
315+927,4
315+937,4
315+957,7
315+967,4
315+987,8
315+997,4
316+007,7
316+027,5
316+037,5
316+057,5
316+067,5
316+087,1
316+097,4
316+117,3
316+127,5
316+147,4
316+157,2
316+177,0
316+187,0
316+207,0
316+227,0
316+237,0
316+257,0
316+277,0
316+287,0
316+307,0
316+317,0
316+337,0
316+357,0
316+367,0
316+387,0
316+397,0
316+417,0
316+437,0
316+447,1
316+467,0
316+477,0
316+497,1
316+507,2
316+527,0
316+547,2
316+557,2
316+577,0
316+587,0
316+607,1
316+627,5
316+637,6
316+657,4
316+677,6
316+687,5
316+707,9
316+717,4
316+737,4
316+747,3
316+767,4
316+787,3
316+797,4
316+817,2
316+827,4
316+847,3
