Chainage,Alligator crack(%),Longitudinal crack(%),Transverse crack(%),Cracking(%),Cracking severity,Good,Fair,Poor,Potholes(%),Potholes severity,Good,Fair,Poor,Rutting(%),Shoving(%),Shoving severity,Patch work(%),Patch work severity,Good,Fair,Poor,%High Severity Bleeding,%Mid Severity Bleeding,%Low Severity Bleeding,Bleeding(%),Bleeding severity,Good,Fair,Poor,%High severity Raveling,%Medium severity Raveling,%Low severity Raveling,Raveling(%),Raveling severity,Good,Fair,Poor,Depression(%),Depression severity,Good,Fair,Poor,Edge crack(%),Edge crack severity,Good,Fair,Poor,Latitude,Longitude,Image Path
0+000,0.952024,0,0,0.952024,Good,1,0,0,0,N/A,0,0,0,0,4.02165,Good,0,N/A,0,0,0,0.870497,0.925919,1.043325,2.839741,Fair,0,1,0,0.19236,0.197969,0.2305785,0.6209075,Good,1,0,0,0.983252,Good,1,0,0,0,N/A,0,0,0,28.18994,77.07267,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_45_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_70_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_129_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_138_Shoving.jpg
0+010,0.793341,0,0,0.793341,Good,1,0,0,0.028376,Good,1,0,0,0,3.95311,Good,0.425659,Good,1,0,0,0.912323,1.516717,1.528148,3.957188,Fair,0,1,0,0.321292,0.184548,0.2297834,0.7356234,Good,1,0,0,1.053455,Fair,0,1,0,0,N/A,0,0,0,28.18987,77.07273,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_197_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_231_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_253_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_301_Potholes.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_332_Patch_work.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_362_Patch_work.jpg
0+020,2.870926,0.527039,0,3.397965,Good,1,0,0,0.120527,Fair,0,1,0,0,32.71851,Poor,1.81408,Fair,0,1,0,0.842544,1.111695,1.336147,3.290386,Fair,0,1,0,0.370597,0.218604,0.2947974,0.8839984,Good,1,0,0,1.496788,Fair,0,1,0,0,N/A,0,0,0,28.18979,77.07279,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_400_Patch_work.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_414_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_453_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_482_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_484_Potholes.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_516_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_533_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_551_Potholes.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_576_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_576_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_577_Longitudinal_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_606_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_612_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_636_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_658_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_666_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_686_Patch_work.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_688_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_698_Shoving.jpg
0+030,1.880539,0,0,1.880539,Good,1,0,0,0,N/A,0,0,0,0,9.819369,Fair,0,N/A,0,0,0,0.247785,0.694729,0.848658,1.791172,Fair,0,1,0,0.061886,0.059914,0.1046956,0.2264956,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18972,77.07284,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_728_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_730_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_758_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_829_Alligator_crack.jpg
0+040,0,0,0.284225,0.284225,Good,1,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.036168,0.141403,0.594937,0.772508,Good,1,0,0,0.044332,0.050446,0.1057705,0.2005485,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18964,77.07288,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_916_Transverse_crack.jpg
0+050,0,0,0.920239,0.920239,Good,1,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.009192,0.107066,0.391034,0.507292,Good,1,0,0,0.043882,0.048939,0.0753261,0.1681471,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18955,77.07293,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_946_Transverse_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_976_Transverse_crack.jpg
0+060,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.037581,0.164944,0.338904,0.541429,Good,1,0,0,0.082369,0.046969,0.0653209,0.1946589,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18947,77.07297,
0+070,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,3.713676,Good,0,N/A,0,0,0,0.245828,0.33109,0.37274,0.949658,Good,1,0,0,0.096273,0.048699,0.0687644,0.2137364,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18939,77.073,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1051_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1094_Shoving.jpg
0+080,0.595604,0,0,0.595604,Good,1,0,0,0,N/A,0,0,0,0,1.43176,Good,0,N/A,0,0,0,0.282823,0.230006,0.341374,0.854203,Good,1,0,0,0.09939,0.05454,0.0602857,0.2142157,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.1893,77.07303,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1111_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1124_Shoving.jpg
0+090,0.593135,0,0,0.593135,Good,1,0,0,0,N/A,0,0,0,0,0.604299,Good,0,N/A,0,0,0,0.127596,0.06909,0.202346,0.399032,Good,1,0,0,0.101573,0.045019,0.0525673,0.1991593,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18922,77.07307,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1162_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1164_Alligator_crack.jpg
0+100,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.079399,0.081635,0.146015,0.307049,Good,1,0,0,0.087416,0.040152,0.0485914,0.1761594,Good,1,0,0,0,N/A,0,0,0,4.580581,Fair,0,1,0,28.18913,77.0731,
0+110,0.37607,0,0,0.37607,Good,1,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.017174,0.069831,0.261151,0.348156,Good,1,0,0,0.086262,0.044342,0.0511383,0.1817423,Good,1,0,0,0,N/A,0,0,0,2.291479,Fair,0,1,0,28.18904,77.07312,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1249_Alligator_crack.jpg
0+120,0.780489,0,0,0.780489,Good,1,0,0,0,N/A,0,0,0,1.919542,0,N/A,0,N/A,0,0,0,0.125897,0.104236,0.307871,0.538004,Good,1,0,0,0.048874,0.031744,0.0517824,0.1324004,Good,1,0,0,0,N/A,0,0,0,1.652473,Fair,0,1,0,28.18896,77.07315,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1291_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1321_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1325_Rutting.jpg
0+130,0.207287,0,0,0.207287,Good,1,0,0,0,N/A,0,0,0,0,3.626898,Good,0,N/A,0,0,0,0.00604,0.062307,0.301357,0.369704,Good,1,0,0,0.047583,0.034546,0.0493587,0.1314877,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18887,77.07317,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1346_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1351_Alligator_crack.jpg
0+140,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.02001,0.098307,0.2742,0.392517,Good,1,0,0,0.067344,0.035862,0.0459373,0.1491433,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18878,77.07319,
0+150,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.033762,0.103018,0.288307,0.425087,Good,1,0,0,0.056578,0.028927,0.0438419,0.1293469,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18869,77.0732,
0+160,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0.575283,Good,0.020198,Good,1,0,0,0.074677,0.133659,0.262827,0.471163,Good,1,0,0,0.043232,0.026878,0.0351479,0.1052579,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.1886,77.07322,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1476_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1490_Patch_work.jpg
0+170,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.074223,0.145522,0.235461,0.455206,Good,1,0,0,0.024695,0.017292,0.0210214,0.0630084,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18851,77.07323,
0+180,0,0,0,0,N/A,0,0,0,0.00482,Good,1,0,0,0,0,N/A,0,N/A,0,0,0,0.093139,0.179797,0.230038,0.502974,Good,1,0,0,0.02833,0.020161,0.0257804,0.0742714,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18842,77.07323,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1548_Potholes.jpg
0+190,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,1.368842,Good,0.126936,Good,1,0,0,0.098853,0.244436,0.256687,0.599976,Good,1,0,0,0.029639,0.014069,0.0239639,0.0676719,Good,1,0,0,0.021742,Good,1,0,0,0,N/A,0,0,0,28.18833,77.07323,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1562_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1567_Patch_work.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1596_Shoving.jpg
0+200,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0.174953,Good,0,N/A,0,0,0,0.073599,0.208709,0.136566,0.418874,Good,1,0,0,0.015107,0.015975,0.0233974,0.0544794,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18824,77.07323,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1628_Shoving.jpg
0+210,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0.0533,Good,1,0,0,0.076539,0.205565,0.064143,0.346247,Good,1,0,0,0.036642,0.016625,0.0231442,0.0764112,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18815,77.07323,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1655_Patch_work.jpg
0+220,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,1.121528,Good,0,N/A,0,0,0,0.065257,0.185447,0.134217,0.384921,Good,1,0,0,0.017899,0.013306,0.0185043,0.0497093,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18806,77.07322,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_1683_Shoving.jpg
0+230,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.06933,0.133257,0.239685,0.442272,Good,1,0,0,0.020001,0.013182,0.0192399,0.0524229,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18797,77.07322,
